"zip","area_name","LA_city","lon","lat"
"91337","Reseda",FALSE,-118.54,34.2
"91340","San Fernando",FALSE,-118.4338345,34.2913046
"91341","San Fernando",FALSE,-118.44,34.28
"91342","Lake View Terrace/Sylmar",TRUE,-118.3695699,34.3023759
"91343","North Hills",TRUE,-118.4805569,34.2386799
"91344","Granada Hills",TRUE,-118.4980744,34.2801972
"91345","Mission Hills",TRUE,-118.4571974,34.264995
"91346","Mission Hills",FALSE,-118.47,34.27
"91350","Agua Dulce/Saugus",FALSE,-118.5155901,34.4338228
"91351","Santa Clarita (Canyon Country)",FALSE,-118.4571974,34.4384112
"91352","Sun Valley",TRUE,-118.3520389,34.2301567
"91353","Sun Valley",FALSE,-118.37,34.22
"91354","Santa Clarita (Valencia)",FALSE,-118.5622893,34.4627169
"91355","Santa Clarita (Valencia)",FALSE,-118.5914696,34.4400287
"91356","Tarzana",TRUE,-118.5447787,34.1662848
"91357","Tarzana",FALSE,-118.55,34.17
"91361","Westlake Village",FALSE,-118.8946309,34.1384626
"91362","Westlake Village",FALSE,-118.824722,34.1971476
"91364","Woodland Hills",TRUE,-118.5914696,34.1544724
"91365","Woodland Hills",FALSE,-118.6095343,34.1693503
"91367","Woodland Hills",TRUE,-118.597305,34.1785255
"91372","Calabasas",FALSE,-118.64,34.15
"91376","Agoura Hills",FALSE,-118.74,34.14
"91380","Santa Clarita",FALSE,-118.4,34.5
"91381","Stevenson Ranch",FALSE,-118.61481,34.3729805
"91382","Santa Clarita",FALSE,-118.54,34.39
"91383","Santa Clarita",FALSE,-118.64,34.43
"91384","Castaic",FALSE,-118.6964752,34.5455162
"91385","Valencia",FALSE,-118.56,34.39
"91386","Canyon Country",FALSE,-118.45,34.42
"91387","Canyon Country",FALSE,-118.4163103,34.413057
"91390","Santa Clarita",FALSE,-118.3346172,34.4964601
"91392","Sylmar",FALSE,-118.45,34.31
"91393","North Hills",FALSE,-118.28,34.1599999
"91394","Granada Hills",FALSE,-118.52,34.26
